Process;code_text;geo_prev_filter;coords;no_coords;distr_env;dup_position;dup_time;dup_recorder;download_tax;taxonomic_db;prev_tax;query_tax;bor;temp;temp_level;temp_range
;data <- data %>% filter(between(decimalLatitude, -90, 90)) %>% filter(between(decimalLongitude, -180, 180));0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
;library(dplyr);0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
;data <- data %>% filter(decimalLatitude != 0) %>% filter(decimalLongitude != 0);0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
a. Are coordinates placed in correct habitat (sea / land)?;library(coordinateCleaner);0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
;"sea <- cc_sea(data, lon = 'decimalLongitude', lat = 'decimalLatitude', value = 'flagged'); data <- cbind(data, cap)";0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
b. Are coordinates placed in the country assigned?;library(sf) # Point in polygon analysis;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
;# Upload dataframe with occurrences (occData) and shapefile of administrative units (countriesSHP);0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
;datapoints  <- st_as_sf(x = occData, coords = c('decimalLongitude', 'decimalLatitude'), crs = '+proj=longlat +datum=WGS84 +no_defs');0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
;occData <- st_join(datapoints, countriesSHP);0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
c. Check position of records that are not placed in the country assigned.;;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
d. Check records placed in prime meridian or equator countries;;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
e. Delete or label as potential errors those records whose coordinates are centroids of:;"library(coordinateCleaner)
cap <- cc_cap(data, lon = 'decimalLongitude', lat = 'decimalLatitude', value = 'flagged'); data <- cbind(data, cap) # Country capitals";0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
;"gbif <- cc_gbif(data, lon = 'decimalLongitude', lat = 'decimalLatitude', value = 'flagged'); data <- cbind(data, gbif) # GBIF headquarters";0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
;"cen <- cc_cen(data, lon = 'decimalLongitude', lat = 'decimalLatitude', value = 'flagged'); data <- cbind(data, cen) # Geographic centroids of political countries and provinces";0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
;"inst <- cc_inst(data, lon = 'decimalLongitude', lat = 'decimalLatitude', value = 'flagged'); data <- cbind(data, inst) # Nearby institutions";0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
Use locality information or position description to generate coordinates;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Are coordinates placed in the species native range / extent of presence?;library(sf) # Point in polygon analysis;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;# Upload dataframe with occurrences (occData) and shapefile of administrative units (countriesSHP);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;datapoints  <- st_as_sf(x = occData, coords = c('decimalLongitude', 'decimalLatitude'), crs = '+proj=longlat +datum=WGS84 +no_defs');0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;occData <- st_join(datapoints, countriesSHP);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Does country name match with their native region?;library(dplyr) # Upload dataframe with occurrences (occData) ;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;occData <- occData %>% mutate(countryCheck = case_when(Native_Location != countryName ~ FALSE, TRUE ~ TRUE));0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
a) Calculate environmental centroids for the species and validate outliers.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b. Calculate environmental space for species and check overlaps and delete outliers.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
c. Overlap environmental information by geographical position and filter occurrences by threshold.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cell;"library(biogeo); library(dplyr)";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Cell;datbiogeo <- keepmainfields(data, ID='gbifID', Species='species', x='decimalLongitude', y='decimalLatitude');0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Cell;"dataDuplic <- duplicatesexclude(datbiogeo, 10) # spatial resolution in minutes;
dataDuplic <- dataDuplic %>% filter(Exclude == 0)";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Coordinates + Buffer or rounded coordinates ;library(coordinateCleaner);0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Coordinates + Buffer or rounded coordinates ;data$LatRound <- round(data$decimalLatitude, 2) # rounded to 2 decimals;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Coordinates + Buffer or rounded coordinates ;data$LonRound <- round(data$decimalLongitude, 2) # rounded to 2 decimals;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Coordinates + Buffer or rounded coordinates ;dataDuplic <- cc_dupl (data, lon = 'LonRound',  lat = 'LatRound');0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Coordinates;library(coordinateCleaner);0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
Coordinates;dataDuplic <- cc_dupl (data, lon = 'decimalLongitude',  lat = 'decimalLatitude');0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
Date (DD/MM/YYYY);library(coordinateCleaner);0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Date (DD/MM/YYYY);dataDuplic <- cc_dupl (data, lon = 'decimalLongitude',  lat = 'decimalLatitude', additions = c('day' ,'month','year'));0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Year;library(coordinateCleaner);0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Year;dataDuplic <- cc_dupl (data, lon = 'decimalLongitude',  lat = 'decimalLatitude', additions =  'year');0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Recorder Name: TRUE;library(coordinateCleaner);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Recorder Name: TRUE;dataDuplic <- cc_dupl (data, lon = 'decimalLongitude',  lat = 'decimalLatitude', additions = c('recordedBy', 'eventDate'));0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Dont filter by Basis of Record;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Preserved Specimens;library(dplyr);0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Preserved Specimens;data <- data %>% filter(basisOfRecord == 'preservedSpecimen');0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Observations;library(dplyr);0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
Observations;data <- data %>% filter(basisOfRecord == 'Observation' |basisOfRecord == 'HumanObservation' );0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
Preserved Specimens and Observations;library(dplyr);0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
Preserved Specimens and Observations;data <- data %>% filter(basisOfRecord == 'Observation' | basisOfRecord == 'HumanObservation' |basisOfRecord == 'PreservedSpecimen');0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
a. Complete date of collection ;library(dplyr);0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
a. Complete date of collection ;data <- data %>% filter(!is.na(year) & !is.na(month) & !is.na(day));0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
b. At least year of collection;library(dplyr);0;0;0;0;0;0;0;0;0;0;0;0;2;1;0
b. At least year of collection;data <- data %>% filter(!is.na(year));0;0;0;0;0;0;0;0;0;0;0;0;2;1;0
Set range of information TRUE;library(dplyr);0;0;0;0;0;0;0;0;0;0;0;0;2;0;1
Set range of information TRUE;data <- data %>% filter(year >= XXXX & year <= XXXX );0;0;0;0;0;0;0;0;0;0;0;0;2;0;1
